MET file converted from FVCOM filessm_mc_20_0.83alb.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 355.500  14.940  23.030   1.312   0.298   6.602
 356.500  14.940  23.030  11.709   0.304   2.775
 357.500  14.940  23.030  12.492   0.310   2.550
 358.500  14.940  23.030  11.072   0.315   4.335
 359.500  14.940  23.030   6.718   0.321   5.726
 360.500  14.940  23.030  10.053   0.327   8.859
 361.500  14.940  23.030   7.512   0.327   3.358
 362.500  14.940  23.030   8.363   0.327   4.664
 363.500  14.940  23.030   7.212   0.327   5.762
 364.500  14.940  23.030   4.911   0.327  11.020
 365.708  14.940  23.030   4.911   0.327  11.020
